geometry,geometry_index,beta,mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,criterion
cubic,1.0,0.0,15,5.727495334112614,Z1,0.23922498872191744,0.00021718533172487684,0.3943931162823786,3.6784063078633693,5.195615853244956e-05,8.565639978979633e-05,score_q
cubic,1.0,0.0,8,2.882207939515442,Z1,0.15139921439941045,0.00011271220073669333,0.9999999999999979,3.713972400291808,1.7064538644764024e-05,0.00011271220073669308,score_iso
cubic,1.0,1.0,15,8.851988956886034,Y1,0.12933767902165239,0.0001485609783380788,0.4894893222876719,2.5944795215213134,1.9214532131433087e-05,7.27190126050997e-05,score_q
cubic,1.0,1.0,15,8.851988956886034,Y1,0.12933767902165239,0.0001485609783380788,0.4894893222876719,2.5944795215213134,1.9214532131433087e-05,7.27190126050997e-05,score_iso
cubic,1.0,5.0,18,14.75224417057689,X1+Y1+Z1,0.31833497658015497,0.00027727993256697065,0.8289596232602975,0.6134042244691983,8.826790083985356e-05,0.00022985386843835668,score_q
cubic,1.0,5.0,11,10.129165589346625,X1+Y2+Z1,0.10509127349505175,0.00024789725002803854,0.9999999999999968,0.46057249896479396,2.6051837701367822e-05,0.00024789725002803773,score_iso
tet_1.05,1.05,0.0,18,5.3736473559905065,Z1,0.41495568418199313,0.0002112399709664242,0.7882245212728956,3.62114798847252,8.765522667895692e-05,0.00016650452498871007,score_q
tet_1.05,1.05,0.0,18,5.3736473559905065,Z1,0.41495568418199313,0.0002112399709664242,0.7882245212728956,3.62114798847252,8.765522667895692e-05,0.00016650452498871007,score_iso
tet_1.05,1.05,1.0,18,8.438732152512975,Z1,0.14945148710278178,0.00012910386870679287,0.9865219726778307,2.532314012267358,1.9294765168952486e-05,0.00012736380323696497,score_q
tet_1.05,1.05,1.0,18,8.438732152512975,Z1,0.14945148710278178,0.00012910386870679287,0.9865219726778307,2.532314012267358,1.9294765168952486e-05,0.00012736380323696497,score_iso
tet_1.05,1.05,5.0,12,11.09202679136181,X1+Y1+Z1,0.21051528650474885,0.00016041655111134078,0.24000232703331978,0.4829743942104248,3.377013621730759e-05,3.850034556138127e-05,score_q
tet_1.05,1.05,5.0,11,9.848783958520212,X1+Y1+Z1,0.10567284228575033,0.00025297870539947516,0.9165518990165187,0.44261826571766183,2.6732978837332034e-05,0.00023186811284462938,score_iso
tet_1.10,1.1,0.0,18,5.066945822846926,Z1,0.41495568418199547,0.00021123997096642605,0.8650808804899917,3.5690949708435085,8.765522667895818e-05,0.00018273966007831613,score_q
tet_1.10,1.1,0.0,18,5.066945822846926,Z1,0.41495568418199547,0.00021123997096642605,0.8650808804899917,3.5690949708435085,8.765522667895818e-05,0.00018273966007831613,score_iso
tet_1.10,1.1,1.0,18,8.077901586616747,Z1,0.1494334792927514,0.00012853192975909315,0.8987738379721364,2.4756160402716367,1.9206973464112822e-05,0.0001155211358115452,score_q
